"FEntryID","FOperSN","FOperID","FBrNO","FWorkCenterID","FNote","FTimeUnit","FLeadTime","FTimeRun","FTimeSetup","FInterID","FitemID","FWorkQty","FMoveTime","FqualityChkID","Ffare","FQualityShcemeID","FMoveQty","FAutoTD","FAutoOF","FIsOut","FFee","FSupplyID","FFManagerID","FTeamID","FWorkerID","FDeviceID","FResourceCount","FConversion","FPieceRate","FCheckCycle","FProcParam","FNewEntryID","FIndex","FMachStdTimeRun","FMachStdTimeSetup","FPersonStdTimeRun","FPersonStdTimeSetup","FEntrySelfZ0236","FEntrySelfZ0237"
"1","10","40002","0","211682",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1003","1","1.0000000000","1.1800000000","0E-10",,"71256","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"2","20","40129","0","211682",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1029","1","1.0000000000","0.0650000000","0E-10",,"71257","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","5.0000000000"
"3","30","40003","0","216908",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40149","0","1009","1","1.0000000000","0.2110000000","0E-10",,"71258","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","6.0000000000"
"4","40","40336","0","216909",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40160","0","1023","1","1.0000000000","1.2500000000","0E-10",,"71259","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"5","50","40004","0","216910",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40159","0","1026","1","1.0000000000","0.2550000000","0E-10",,"71260","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","3.0000000000"
"6","60","40133","0","216911",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","58287","1018","1","1.0000000000","0.2300000000","0E-10",,"71261","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"7","70","40140","0","13389",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","211408","1000","1","1.0000000000","0.6000000000","0E-10",,"71262","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"8","80","40142","0","216912",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40176","0","1022","1","1.0000000000","0.3640000000","0E-10",,"71263","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"9","90","40146","0","216915",,"11082","0E-10","1.0000000000","0E-10","3339","0","100.0000000000","0E-10","351","1059","1004","1.0000000000","1058","1058","1059","0E-10","0","0","40150","0","1021","1","1.0000000000","0.5120000000","0E-10",,"71264","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"1","10","40002","0","211682",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1003","1","1.0000000000","1.1800000000","0E-10",,"409356","0","0E-10","1.0000000000","0E-10","0E-10","2.1000000000","1.0000000000"
"2","20","40129","0","211682",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40391","0","1029","1","1.0000000000","0.0650000000","0E-10",,"409357","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","5.0000000000"
"3","30","40003","0","216908",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40149","0","1009","1","1.0000000000","0.2110000000","0E-10",,"409358","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","8.0000000000"
"4","40","40336","0","216909",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","40160","0","1023","1","1.0000000000","1.2500000000","0E-10",,"409359","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"5","50","40133","0","216911",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","58287","1018","1","1.0000000000","0.2300000000","0E-10",,"409360","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
"6","60","40140","0","13389",,"11082","0E-10","1.0000000000","0E-10","3355","0","100.0000000000","0E-10","352","1059","0","1.0000000000","1058","1058","1059","0E-10","0","0","0","211408","1000","1","1.0000000000","0.6000000000","0E-10",,"409361","0","0E-10","1.0000000000","0E-10","0E-10","1.0000000000","1.0000000000"
