"FID","FClassTypeID","FClassActionID","FObject","FDefineType","FSourceType","FSourceField","FAction","FExpression","FOrder","FDescription"
"29007","1007006","22","EVENT","0","8192","FAfterLoadBillAction",,"@HadBusinessMultiCheck=1","1","Added by BOS UPDATE"
"28936","1007006","2","FAmount","0","4096","FAction","FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQty/(1-FDescount/100)",,"1","值更新事件"
"28937","1007006","2","FAmount","0","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)",,"2","值更新事件"
"28938","1007006","2","FAmount","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"3","值更新事件"
"28939","1007006","2","FAmount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","4","值更新事件"
"28940","1007006","2","FAmount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","5","值更新事件"
"28941","1007006","2","FAmount","0","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"28942","1007006","2","FAmount","0","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"28943","1007006","2","FAmount","0","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"8","值更新事件"
"28944","1007006","9","FAuxPrice","0","4096","FSaveRule","FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0",,"1","保存规则"
"28945","1007006","2","FAuxPrice","32768","4096","FAction","FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)",,"1","值更新事件"
"28946","1007006","2","FAuxPrice","32768","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"2","值更新事件"
"28947","1007006","2","FAuxPrice","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"3","值更新事件"
"28948","1007006","2","FAuxPrice","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","4","值更新事件"
"28949","1007006","2","FAuxPrice","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","5","值更新事件"
"28950","1007006","2","FAuxPrice","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"28951","1007006","2","FAuxPrice","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"28952","1007006","2","FAuxPrice","32768","4096","FAction","FPrice=FAuxPrice/FUnitID.FCoefficient",,"8","值更新事件"
"28953","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)",,"1","值更新事件"
"28954","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"2","值更新事件"
"28955","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"3","值更新事件"
"28956","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","4","值更新事件"
"28957","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","5","值更新事件"
"28958","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"28959","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"28960","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"8","值更新事件"
