"FID","FClassTypeID","FPage","FCaption_CHS","FCaption_CHT","FCaption_EN","FKey","FFieldName","FTableName","FTableNameAs","FListIndex","FListClassName","FVisible","FEnable","FNeedSave","FMustInput","FCtlType","FProperty","FLookUpType","FLookUpClassID","FLookUpList","FSRCFieldName","FSRCTableName","FSRCTableNameAs","FDSPFieldName","FFNDFieldName","FValueLocation","FFilter","FFilterGroup","FValueType","FDspColType","FEditlen","FValuePrecision","FSaveRule","FDefValue","FAction","FUserDefine","FNote","FKeyWord","FLeft","FTop","FHeight","FWidth","FCondition","FTabIndex","FLock","FSum","FPrec","FScale","FLayer","FLoadAction","FUnControl","FFont","FSourceType","FSubKey","FParentKey","FConditionExt","FFrameBorder","FFrameBorderColor","FLabelWidth","FLabelColor","FTextColor","FIsF7","FContainer","FStyle"
"13986","1007006","2","金额","金額","Amount","FAmount","FAmount","PORFQEntry",,"64","0","2060","0","true","false","2","FCurrencyID","0","0","Min=0",,,,,,"1",,,"106","6","28","13",,,"Calculate{FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQty/(1-FDescount/100)}|Calculate{FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}:{FCess>0}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient}","false",,"AMOUNT","0","0","350","1260","1,13","23","24","true","28","2","0",,"13842",,"0",,,"0","2","0","0","0","0","0",,"0"
"13994","1007006","2","价税合计","價稅合計","Total Amt after Disc and Taxes","FAmountIncludeTax","FAmountIncludeTax","PORFQEntry",,"75","0","12","0","true","false","2","FCurrencyID","0","0",,,,,,,"1",,,"106","6","13","13",,,,"false",,"AMOUNT","0","0","350","930","1,13","34","-1","true","13","2","0",,"8720",,"0",,,"0","2","0","0","0","0","0",,"0"
"13995","1007006","2","辅助属性类别","輔助屬性類別","Auxiliary Property Type","FAuxClassID","FItemID","PORFQEntry",,"81","0","12","0","false","false","1",,"0","4",,"FItemID","t_ICItem",,"FAuxClassID",,"3",,,"167","500","255","0",,,,"false",,,"0","0","0","645","0","40","-1","false","0","0","0",,"8240",,"2",,,"0","2","0","0","0","0","0",,"0"
"13984","1007006","2","单价","單價","Unit Price","FAuxPrice","FAuxPrice","PORFQEntry",,"58","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13","Vertify{FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0}",,"Calculate{FDecimal21=FCustID.F_123}|Calculate{FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)}|Calculate{FDecimal9=FDecimal7*FDecimal17/100*FDecimal22/365
}|Calculate{FDecimal23=FDecimal3+FDecimal7+FDecimal9+FDecimal21}|Calculate{FDescount=100-100*FDecimal23/(1-FDecimal18/100)*(1+FCess/100)/(1-FDecimal5/100)/(1-FDecimal6/100)/FAuxPriceIncludeTax/FDecimal4}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}:{FCess>0}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPrice/FUnitID.FCoefficient}|Calculate{FDecimal10=FAuxPriceIncludeTax*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23
}|Calculate{FDecimal11=100-100*FDecimal23*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)}|TrigAction{FDecimal12}","false",,"PRICE","0","0","350","930","1,13","17","24","false","13","10","0",,"13842",,"0",,,"0","2","0","0","0","0","0",,"0"
"13985","1007006","2","含税单价","含稅單價","Unit Price after Tax","FAuxPriceIncludeTax","FAuxPriceIncludeTax","PORFQEntry",,"61","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13",,,"Calculate{FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)}|Calculate{FDecimal9=FDecimal7*FDecimal17/100*FDecimal22/365
}|Calculate{FDescount=100-100*FDecimal23/(1-FDecimal18/100)*(1+FCess/100)/(1-FDecimal5/100)/(1-FDecimal6/100)/FAuxPriceIncludeTax/FDecimal4
}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}:{FCess>0}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient}|Calculate{FDecimal10=FAuxPriceIncludeTax*FDecimal4*(1-FDecimal6/100)*(1-FDecimal5/100)/(1+FCess/100)-FDecimal23}|Calculate{FDecimal11=100-100*FDecimal23*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal6/100)*(1-FDecimal5/100)*FDecimal4)
}|TrigAction{FDecimal12}","false",,"PRICE","0","0","350","885","1,13","20","24","false","13","10","0",,"12818",,"0",,,"0","2","0","0","0","0","0",,"0"
"13976","1007006","2","辅助属性","輔助屬性","Auxiliary Property","FAuxPropID","FAuxPropID","PORFQEntry",,"53","0","3071","0","true","false","1","FItemNumber","17","1",,"FItemID","t_AuxItem",,"FName","FNumber","1",,,"56","500","255","4",,,,"false",,,"5158","7738","346","795","0","12","20","false","0","10","0",,"12817",,"1",,,"0","2","0","0","0","0","0",,"0"
"13983","1007006","2","数量","數量","Qty","FAuxQty","FAuxQty","PORFQEntry",,"55","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13","Vertify{FAuxQty>0,CHS=产品的数量必须大于零。@CHT=產品的數量必須大于零。@EN=the Quantity of Product must be more than zero.@,0}",,"Calculate{FQty=FAuxQty*FUnitID.FCoefficient}|Calculate{FDecimal21=FCustID.F_123}|TrigAction{FDecimal15,FDecimal16}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}:{FCess>0}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}","false",,"QTY","0","0","350","975","1,13","14","24","true","13","10","0",,"13842",,"0",,,"0","2","0","0","0","0","0",,"0"
"13987","1007006","2","数量段(从)","數量段(從)","Qty Segment (from)","FAuxQtyFrom","FAuxQtyFrom","PORFQEntry",,"77","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13",,,"Calculate{FQtyFrom=FAuxQtyFrom*FUnitID.FCoefficient}","false",,"QTY","0","0","350","975","1,13","36","20","true","13","10","0",,"12818",,"0",,,"0","2","0","0","0","0","0",,"0"
"13989","1007006","2","数量段(到)","數量段(到)","Qty to","FAuxQtyTo","FAuxQtyTo","PORFQEntry",,"78","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13",,,"Calculate{FQtyTo=FAuxQtyTo*FUnitID.FCoefficient}","false",,"QTY","0","0","350","945","1,13","37","20","true","13","10","0",,"12818",,"0",,,"0","2","0","0","0","0","0",,"0"
"13992","1007006","2","实际含税单价","實際含稅單價","Actual Unit Price after Tax","FAuxTaxPriceDiscount","FAuxTaxPriceDiscount","PORFQEntry",,"74","0","4095","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13",,,,"false",,"PRICE","0","0","350","825","1,13","33","-1","false","13","10","0",,"8723",,"0",,,"0","2","0","0","0","0","0",,"0"
