FID,FClassTypeID,FClassActionID,FObject,FCaption_CHS,FDefineType,FSourceType,FSourceField,FAction,FAction,FExpression,FOrder,FDescription,Descriptions
54619,1007006,22,EVENT,#N/A,0,8192,FAfterLoadBillAction,,,@HadBusinessMultiCheck=1,1,Added by BOS UPDATE,
54528,1007006,2,FAmount,金额,0,4096,FAction,FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQTY/(1-FDescount/100),含税单价=金额*(1+税率/100)/数量/(1-折扣率/100),,1,值更新事件,
54529,1007006,2,FAmount,金额,0,4096,FAction,FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100),单价=含税单价/(1+税率/100),,2,值更新事件,
54530,1007006,2,FAmount,金额,0,4096,FAction,FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100),实际含税单价=含税单价*(1-折扣率/100),,3,值更新事件,
54531,1007006,2,FAmount,金额,0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax*FDescount/100,折扣额=数量*含税单价*折扣率/100,@SysProfileDisCountIncludeTax=1,4,值更新事件,
54532,1007006,2,FAmount,金额,0,4096,FAction,FDiscountAmt=FAuxQTY*FAuxPriceIncludeTax/(100+FCess)*FDescount,折扣额=数量*含税单价/(100+税率)*折扣率,@SysProfileDisCountIncludeTax=0,5,值更新事件,
54533,1007006,2,FAmount,金额,0,4096,FAction,FTaxAmount=FAuxQTY*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100,税额=数量*含税单价*(1-折扣率/100)/(1+税率/100)*税率/100,FCess>0,6,值更新事件,
54534,1007006,2,FAmount,金额,0,4096,FAction,FAmountIncludeTax=FAmount+FTaxAmount,含税金额=金额+税额,,7,值更新事件,
54535,1007006,2,FAmount,金额,0,4096,FAction,FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient,基本单位单价=含税单价/(1+税率/100)/单位.FCoefficient,,8,值更新事件,
54536,1007006,9,FAuxPrice,单价,0,4096,FSaveRule,"FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0","单价<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0",,1,保存规则,
54537,1007006,2,FAuxPrice,单价,0,4096,FAction,FDecimal21=FCustID.F_123,木托盘缠绕膜成本=购货单位.F_123,,1,值更新事件,
54538,1007006,2,FAuxPrice,单价,32768,4096,FAction,FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100),含税单价=单价*(1+税率/100),,2,值更新事件,
54539,1007006,2,FAuxPrice,单价,0,4096,FAction,"FDecimal9=FDecimal7*FDecimal17/100*FDecimal22/365
","账期财务成本=出厂成本_不含运费*贷款年利率（%）/100*客户账期/365
",,3,值更新事件,
54540,1007006,2,FAuxPrice,单价,0,4096,FAction,FDecimal23=FDecimal3+FDecimal7+FDecimal9+FDecimal21,总成本=运费（含税）+出厂成本_不含运费+账期财务成本+木托盘缠绕膜成本,,4,值更新事件,
