"FID","FClassTypeID","FClassActionID","FObject","FDefineType","FSourceType","FSourceField","FAction","FExpression","FOrder","FDescription"
"42888","1007006","22","EVENT","0","8192","FAfterLoadBillAction",,"@HadBusinessMultiCheck=1","1","Added by BOS UPDATE"
"42765","1007006","2","FAmount","0","4096","FAction","FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQty/(1-FDescount/100)",,"1","值更新事件"
"42766","1007006","2","FAmount","0","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)",,"2","值更新事件"
"42767","1007006","2","FAmount","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"3","值更新事件"
"42768","1007006","2","FAmount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","4","值更新事件"
"42769","1007006","2","FAmount","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","5","值更新事件"
"42770","1007006","2","FAmount","0","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"42771","1007006","2","FAmount","0","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"42772","1007006","2","FAmount","0","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"8","值更新事件"
"42773","1007006","9","FAuxPrice","0","4096","FSaveRule","FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0",,"1","保存规则"
"42774","1007006","2","FAuxPrice","0","4096","FAction","FDecimal21=FCustID.F_123",,"1","值更新事件"
"42775","1007006","2","FAuxPrice","32768","4096","FAction","FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)",,"2","值更新事件"
"42776","1007006","2","FAuxPrice","0","4096","FAction","FDecimal20=(FDecimal19+FDecimal18+FDecimal21)*FDecimal4/100*FDecimal6/365",,"3","值更新事件"
"42777","1007006","2","FAuxPrice","0","4096","FAction","FDecimal22=FDecimal21+FDecimal20+FDecimal19+FDecimal18",,"4","值更新事件"
"42778","1007006","2","FAuxPrice","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5",,"5","值更新事件"
"42779","1007006","2","FAuxPrice","32768","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"6","值更新事件"
"42780","1007006","2","FAuxPrice","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"7","值更新事件"
"42781","1007006","2","FAuxPrice","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","8","值更新事件"
"42782","1007006","2","FAuxPrice","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","9","值更新事件"
"42783","1007006","2","FAuxPrice","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"10","值更新事件"
"42784","1007006","2","FAuxPrice","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"11","值更新事件"
"42785","1007006","2","FAuxPrice","32768","4096","FAction","FPrice=FAuxPrice/FUnitID.FCoefficient",,"12","值更新事件"
"42786","1007006","2","FAuxPrice","0","4096","FAction","FDecimal8=FAuxPriceIncludeTax*FDecimal5*(1-FDecimal1/100)/(1+FCess/100)-FDecimal22",,"13","值更新事件"
"42787","1007006","2","FAuxPrice","0","4096","FAction","FDecimal9=100-100*FDecimal22*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal1/100)*FDecimal5)",,"14","值更新事件"
"42788","1007006","2","FAuxPrice","0","4096","FAction","FDecimal7=FAuxPriceIncludeTax/(1-FDecimal/100)",,"15","值更新事件"
"42789","1007006","2","FAuxPrice","0","4096","FAction","FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)
",,"16","值更新事件"
"42790","1007006","14","FAuxPrice","0","4096","FAction","FDecimal11",,"17","值更新事件"
"42791","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)",,"1","值更新事件"
"42792","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal20=(FDecimal18+FDecimal19+FDecimal21)*FDecimal4/100*FDecimal6/365
",,"2","值更新事件"
"42793","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal22=FDecimal18+FDecimal19+FDecimal20+FDecimal21",,"3","值更新事件"
"42794","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5
",,"4","值更新事件"
"42795","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"5","值更新事件"
"42796","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"6","值更新事件"
"42797","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","7","值更新事件"
"42798","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","8","值更新事件"
"42799","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"9","值更新事件"
"42800","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"10","值更新事件"
"42801","1007006","2","FAuxPriceIncludeTax","32768","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"11","值更新事件"
"42802","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal8=FAuxPriceIncludeTax*FDecimal5*(1-FDecimal1/100)/(1+FCess/100)-FDecimal22",,"12","值更新事件"
"42803","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal9=100-100*FDecimal22*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal1/100)*FDecimal5)",,"13","值更新事件"
"42804","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal7=FAuxPriceIncludeTax/(1-FDecimal/100)",,"14","值更新事件"
"42805","1007006","2","FAuxPriceIncludeTax","0","4096","FAction","FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)",,"15","值更新事件"
"42806","1007006","14","FAuxPriceIncludeTax","0","4096","FAction","FDecimal11",,"16","值更新事件"
"42807","1007006","9","FAuxQty","0","4096","FSaveRule","FAuxQty=1,CHS=产品的数量必须是1。@CHT=產品的數量必須是1。@EN=the Quantity of Product must be one.@,0",,"1","保存规则"
"42808","1007006","2","FAuxQty","32768","4096","FAction","FQty=FAuxQty*FUnitID.FCoefficient",,"1","值更新事件"
"42809","1007006","2","FAuxQty","0","4096","FAction","FDecimal21=FCustID.F_123",,"2","值更新事件"
"42810","1007006","14","FAuxQty","0","4096","FAction","FDecimal23,FDecimal24",,"3","值更新事件"
"42811","1007006","2","FAuxQty","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"4","值更新事件"
"42812","1007006","2","FAuxQty","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","@SysProfileDisCountIncludeTax=1","5","值更新事件"
"42813","1007006","2","FAuxQty","32768","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount","@SysProfileDisCountIncludeTax=0","6","值更新事件"
"42814","1007006","2","FAuxQty","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"7","值更新事件"
"42815","1007006","2","FAuxQty","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"8","值更新事件"
"42816","1007006","2","FAuxQtyFrom","0","4096","FAction","FQtyFrom=FAuxQtyFrom*FUnitID.FCoefficient",,"1","值更新事件"
"42817","1007006","2","FAuxQtyTo","0","4096","FAction","FQtyTo=FAuxQtyTo*FUnitID.FCoefficient",,"1","值更新事件"
"42818","1007006","1","FBase","0","4096","FAction","FBaseProperty5",,"1","Add by Function SetSouceAction"
"42819","1007006","1","FBase3","0","4096","FAction","FDecimal4=F_101",,"1","值更新事件"
"42820","1007006","100030","FBase4","0","4096","FAction","FBase4,FCurrencyID,FDate,FDecimal5",,"1","值更新事件"
"42821","1007006","1","FBase5","0","4096","FAction","FBase=F_107,FBaseProperty5,FDecimal17=F_110",,"1","值更新事件"
"42822","1007006","2","FBase5","0","4096","FAction","FDecimal16=FItemNumber.FSize*100000/12000","ME.F_105=125","2","值更新事件"
"42823","1007006","2","FBase5","0","4096","FAction","FDecimal16=FItemNumber.FSize","ME.F_105=207266","3","值更新事件"
"42824","1007006","2","FBase5","0","4096","FAction","FDecimal18=FDecimal16*FDecimal17",,"4","值更新事件"
"42825","1007006","14","FBase5","0","4096","FAction","FAuxPrice",,"5","值更新事件"
"42826","1007006","2","FCess","32768","4096","FAction","FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)","@SysProfileIsTaxInPrc=1","1","值更新事件"
"42827","1007006","2","FCess","0","4096","FAction","FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)","@SysProfileIsTaxInPrc=0","2","值更新事件"
"42828","1007006","2","FCess","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"3","值更新事件"
"42829","1007006","2","FCess","32768","4096","FAction","FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient",,"4","值更新事件"
"42830","1007006","2","FCess","32768","4096","FAction","FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)",,"5","值更新事件"
"42831","1007006","2","FCess","32768","4096","FAction","FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100",,"6","值更新事件"
"42832","1007006","2","FCess","32768","4096","FAction","FAmountIncludeTax=FAmount+FTaxAmount",,"7","值更新事件"
"42833","1007006","16","FCheckBox","0","4096","FAction","FCheckBox,FCheckBox1,FDecimal14",,"1","值更新事件"
"42834","1007006","2","FCheckBox","0","4096","FAction","FDecimal14=FDecimal13","FCheckBox=1","2","值更新事件"
"42835","1007006","2","FCheckBox","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5","FCheckBox=1","3","值更新事件"
"42836","1007006","2","FCheckBox","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","FCheckBox=1","4","值更新事件"
"42837","1007006","2","FCheckBox","0","4096","FAction","FAmountIncludeTax=FDecimal10","FCheckBox=1","5","值更新事件"
"42838","1007006","2","FCheckBox","0","4096","FAction","FAuxTaxPriceDiscount=FDecimal10","FCheckBox=1","6","值更新事件"
"42839","1007006","2","FCheckBox","0","4096","FAction","FDecimal15=FDecimal11","FCheckBox=1","7","值更新事件"
"42840","1007006","14","FCheckBox","0","4096","FAction","FDecimal23,FDecimal24,FAuxPriceIncludeTax","(FCheckBox=0) and (FCheckBox1=0)","8","值更新事件"
"42841","1007006","16","FCheckBox1","0","4096","FAction","FCheckBox1,FCheckBox,FDecimal14",,"1","值更新事件"
"42842","1007006","2","FCheckBox1","0","4096","FAction","FDecimal14=FDecimal9","FCheckBox1=1","2","值更新事件"
"42843","1007006","2","FCheckBox1","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5","FCheckBox1=1","3","值更新事件"
"42844","1007006","2","FCheckBox1","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100","FCheckBox1=1","4","值更新事件"
"42845","1007006","2","FCheckBox1","0","4096","FAction","FAmountIncludeTax=FAuxPriceIncludeTax","FCheckBox1=1","5","值更新事件"
"42846","1007006","2","FCheckBox1","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax
","FCheckBox1=1","6","值更新事件"
"42847","1007006","2","FCheckBox1","0","4096","FAction","FDecimal15=FDecimal7","FCheckBox1=1","7","值更新事件"
"42848","1007006","14","FCheckBox1","0","4096","FAction","FDecimal23,FDecimal24,FAuxPriceIncludeTax","FCheckBox=0 and FCheckBox1=0","8","值更新事件"
"42849","1007006","14","FCurrencyID","0","4096","FAction","FBase4,FDecimal23,FDecimal24",,"1","值更新事件"
"42850","1007006","1","FCustID","32768","4096","FAction","FCURRENCYID=FCYID,FBASEPROPERTY2","ME.FCyID<>0","1","值更新事件"
"42851","1007006","1","FCustID","32768","4096","FAction","FPayCondition=FPayCondition,FDecimal2=F_116,FDecimal6=F_122,FDecimal=F_121,FDecimal1=F_115,FBase2=F_124",,"2","值更新事件"
"42852","1007006","1","FCustID","32768","4096","FAction","FDEPTID=FDEPARTMENT,FEMPID=FEMPLOYEE",,"3","值更新事件"
"42853","1007006","100007","FCustID","32768","4096","FAction","Para=[P_SystemType=1,P_CompanyID=FCustID,P_ICItemID=FItemNumber,P_TaxRateOption=0];Return=[P_TaxRate=FCess];BOSAction=[BSA_FillRowType=-2,BSA_ReadRowType=-2]",,"4","值更新事件"
"42854","1007006","2","FDecimal10","0","4096","FAction","FDecimal11=FDecimal10/(1-FDecimal/100)",,"1","值更新事件"
"42855","1007006","2","FDecimal11","0","4096","FAction","FDecimal12=FDecimal11*FDecimal5*(1-FDecimal/100)*(1-FDecimal1/100)/(1+FCess/100)-FDecimal22",,"1","值更新事件"
"42856","1007006","2","FDecimal11","0","4096","FAction","FDecimal13=100-100*FDecimal22*(1+FCess/100)/(FDecimal11*(1-FDecimal/100)*(1-FDecimal1/100)*FDecimal5)",,"2","值更新事件"
"42857","1007006","2","FDecimal11","0","4096","FAction","FDecimal10=FDecimal11*(1-FDecimal/100)",,"3","值更新事件"
"42858","1007006","16","FDecimal14","32768","4096","FAction","FDecimal14,FCheckBox,FCheckBox1",,"1","值更新事件"
"42859","1007006","2","FDecimal14","0","4096","FAction","FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5",,"2","值更新事件"
"42860","1007006","2","FDecimal14","0","4096","FAction","FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100",,"3","值更新事件"
"42861","1007006","2","FDecimal14","0","4096","FAction","FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)",,"4","值更新事件"
"42862","1007006","2","FDecimal14","0","4096","FAction","FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)",,"5","值更新事件"
"42863","1007006","14","FDecimal14","0","4096","FAction","FAuxPrice",,"6","值更新事件"
"42864","1007006","14","FDecimal2","0","4096","FAction","FDecimal23,FDecimal24",,"1","值更新事件"
"42865","1007006","2","FDecimal23","0","4096","FAction","FDecimal14=FDecimal2","FCurrencyID=1 and FDecimal2>=FDecimal23","1","值更新事件"
"42866","1007006","2","FDecimal23","0","4096","FAction","FDecimal14=FDecimal23","FCurrencyID=1 and FDecimal2<FDecimal23","2","值更新事件"
"42867","1007006","2","FDecimal24","0","4096","FAction","FDecimal14=FDecimal2","FCurrencyID=1000 and FDecimal2>=FDecimal24","1","值更新事件"
