"ftabindex","flistindex","fvisible","FID","FClassTypeID","FPage","FCaption_CHS","FCaption_CHT","FCaption_EN","FKey","FFieldName","FTableName","FTableNameAs","FListIndex","FListClassName","FVisible","FEnable","FNeedSave","FMustInput","FCtlType","FProperty","FLookUpType","FLookUpClassID","FLookUpList","FSRCFieldName","FSRCTableName","FSRCTableNameAs","FDSPFieldName","FFNDFieldName","FValueLocation","FFilter","FFilterGroup","FValueType","FDspColType","FEditlen","FValuePrecision","FSaveRule","FDefValue","FAction","FUserDefine","FNote","FKeyWord","FLeft","FTop","FHeight","FWidth","FCondition","FTabIndex","FLock","FSum","FPrec","FScale","FLayer","FLoadAction","FUnControl","FFont","FSourceType","FSubKey","FParentKey","FConditionExt","FFrameBorder","FFrameBorderColor","FLabelWidth","FLabelColor","FTextColor","FIsF7","FContainer","FStyle"
"22","61","4095","13986","1007006","2","金额","金額","Amount","FAmount","FAmount","PORFQEntry",,"61","0","4095","0","true","false","2","FCurrencyID","0","0","Min=0",,,,,,"1",,,"106","6","28","13",,,"Calculate{FAuxPriceIncludeTax=FAmount*(1+FCess/100)/FAuxQty/(1-FDescount/100)}|Calculate{FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient}","false",,"AMOUNT","0","0","350","1260","1,13","22","24","true","28","2","0",,"13330",,"0",,,"0","2","0","0","0","0","0",,"0"
"41","78","4095","13994","1007006","2","价税合计","價稅合計","Total Amt after Disc and Taxes","FAmountIncludeTax","FAmountIncludeTax","PORFQEntry",,"78","0","4095","0","true","false","2","FCurrencyID","0","0",,,,,,,"1",,,"106","6","13","13",,,,"false",,"AMOUNT","0","0","350","915","1,13","41","-1","true","13","2","0",,"8720","FontName=宋体|FontSize=9|FontBold=True|FontItalic=False|","0",,,"0","2","0","0","0","0","0",,"0"
"59","119","12","13995","1007006","2","辅助属性类别","輔助屬性類別","Auxiliary Property Type","FAuxClassID","FItemID","PORFQEntry",,"119","0","12","0","false","false","1",,"0","4",,"FItemID","t_ICItem",,"FAuxClassID",,"3",,,"167","500","255","0",,,,"false",,,"0","0","0","645","0","59","-1","false","0","0","0",,"8240",,"2",,,"0","2","0","0","0","0","0",,"0"
"17","56","4095","13984","1007006","2","不含税单价(扣除质保金)","單價","Unit Price","FAuxPrice","FAuxPrice","PORFQEntry",,"56","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13","Vertify{FAuxPrice<>0,CHS=单价不能等于零!@CHT=單價不能等於零!@EN=Unit Price can not be 0 !@,0}",,"Calculate{FDecimal21=FCustID.F_123}|Calculate{FAuxPriceIncludeTax=FAuxPrice*(1+FCess/100)}|Calculate{FDecimal20=(FDecimal19+FDecimal18+FDecimal21)*FDecimal4/100*FDecimal6/365}|Calculate{FDecimal22=FDecimal21+FDecimal20+FDecimal19+FDecimal18}|Calculate{FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPrice/FUnitID.FCoefficient}|Calculate{FDecimal8=FAuxPriceIncludeTax*FDecimal5*(1-FDecimal1/100)/(1+FCess/100)-FDecimal22}|Calculate{FDecimal9=100-100*FDecimal22*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal1/100)*FDecimal5)}|Calculate{FDecimal7=FAuxPriceIncludeTax/(1-FDecimal/100)}|Calculate{FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)
}|TrigAction{FDecimal11}","false",,"PRICE","0","0","350","930","1,13","17","24","false","13","10","0",,"13842","FontName=宋体|FontSize=9|FontBold=False|FontItalic=False|","0",,,"0","2","0","0","0","0","0",,"0"
"20","59","4095","13985","1007006","2","含税单价(公司指导价或客户成交价 扣除质保金)","含稅單價","Unit Price after Tax","FAuxPriceIncludeTax","FAuxPriceIncludeTax","PORFQEntry",,"59","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13",,,"Calculate{FAuxPrice=FAuxPriceIncludeTax/(1+FCess/100)}|Calculate{FDecimal20=(FDecimal18+FDecimal19+FDecimal21)*FDecimal4/100*FDecimal6/365
}|Calculate{FDecimal22=FDecimal18+FDecimal19+FDecimal20+FDecimal21}|Calculate{FDescount=100-100*FDecimal22/(1-FDecimal14/100)*(1+FCess/100)/(1-FDecimal1/100)/FAuxPriceIncludeTax/FDecimal5
}|Calculate{FAuxTaxPriceDiscount=FAuxPriceIncludeTax*(1-FDescount/100)}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}|Calculate{FPrice=FAuxPriceIncludeTax/(1+FCess/100)/FUnitID.FCoefficient}|Calculate{FDecimal8=FAuxPriceIncludeTax*FDecimal5*(1-FDecimal1/100)/(1+FCess/100)-FDecimal22}|Calculate{FDecimal9=100-100*FDecimal22*(1+FCess/100)/(FAuxPriceIncludeTax*(1-FDecimal1/100)*FDecimal5)}|Calculate{FDecimal7=FAuxPriceIncludeTax/(1-FDecimal/100)}|Calculate{FDecimal15=FAuxPriceIncludeTax*(1-FDescount/100)/(1-FDecimal/100)}|TrigAction{FDecimal11}","false",,"PRICE","0","0","350","885","1,13","20","24","false","13","10","0",,"12818",,"0",,,"0","2","0","0","0","0","0",,"0"
"12","51","3071","13976","1007006","2","辅助属性","輔助屬性","Auxiliary Property","FAuxPropID","FAuxPropID","PORFQEntry",,"51","0","3071","0","true","false","1","FItemNumber","17","1",,"FItemID","t_AuxItem",,"FName","FNumber","1",,,"56","500","255","4",,,,"false",,,"5158","7738","346","795","0","12","20","false","0","10","0",,"12305",,"1",,,"0","2","0","0","0","0","0",,"0"
"14","53","4095","13983","1007006","2","数量","數量","Qty","FAuxQty","FAuxQty","PORFQEntry",,"53","0","4095","0","true","true","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13","Vertify{FAuxQty=1,CHS=产品的数量必须是1。@CHT=產品的數量必須是1。@EN=the Quantity of Product must be one.@,0}",,"Calculate{FQty=FAuxQty*FUnitID.FCoefficient}|Calculate{FDecimal21=FCustID.F_123}|TrigAction{FDecimal23,FDecimal24}|Calculate{FAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax*FDescount/100}:{@SysProfileDisCountIncludeTax=1}|Calculate{FDiscountAmt=FAuxQty*FAuxPriceIncludeTax/(100+FCess)*FDescount}:{@SysProfileDisCountIncludeTax=0}|Calculate{FTaxAmount=FAuxQty*FAuxPriceIncludeTax*(1-FDescount/100)/(1+FCess/100)*FCess/100}|Calculate{FAmountIncludeTax=FAmount+FTaxAmount}","false",,"QTY","0","0","350","975","1,13","14","24","true","13","10","0",,"13842",,"0",,,"0","2","0","0","0","0","0",,"0"
"55","117","12","13987","1007006","2","数量段(从)","數量段(從)","Qty Segment (from)","FAuxQtyFrom","FAuxQtyFrom","PORFQEntry",,"117","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13",,,"Calculate{FQtyFrom=FAuxQtyFrom*FUnitID.FCoefficient}","false",,"QTY","0","0","350","975","1,13","55","20","true","13","10","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"56","116","12","13989","1007006","2","数量段(到)","數量段(到)","Qty to","FAuxQtyTo","FAuxQtyTo","PORFQEntry",,"116","0","12","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","2","13","13",,,"Calculate{FQtyTo=FAuxQtyTo*FUnitID.FCoefficient}","false",,"QTY","0","0","350","945","1,13","56","20","true","13","10","0",,"12306",,"0",,,"0","2","0","0","0","0","0",,"0"
"43","77","4095","13992","1007006","2","实际含税单价(扣除质保金)","實際含稅單價","Actual Unit Price after Tax","FAuxTaxPriceDiscount","FAuxTaxPriceDiscount","PORFQEntry",,"77","0","4095","0","true","false","2","FUnitID","0","0",,,,,,,"1",,,"106","4","13","13",,,,"false",,"PRICE","0","0","350","825","1,13","43","-1","false","13","10","0",,"8211","FontName=宋体|FontSize=9|FontBold=True|FontItalic=False|","0",,,"0","2","0","0","0","0","0",,"0"
